Year,GDP,Deposits,Loans,CBDC Adoption,Inflation,Real Interest Rate,Money Demand
2022,1790000.00,1211692.83,2243282 ,0.1,1.8,2.2,671674.76
2021,1664000.00,1032441.18,2037222.86,0.1,1.5,2.1,647443.35
2020,1472000.00,932966.35,1853490.3,0.1,0.2,-0.2,625580.99
2019,1434000.00,819161.84,1631601.14,0.1,4.5,3.8,576009.15
2018,1361000.00,721688.57,1450736.66,0.1,2.5,3.0 ,551685.91
2017,1224000.00,649341.5,1288782.51,0.1,1.8,0.8,543790.15
2016,1120000.00,603504.2,1166092.58,0.1,2.1,0.1,486557.24
2015,1106000.00,552073.48,1051159.75,0.1,1.6,2.9,400953.44
2014,1048000.00,508878.12,902512.86,0.1,1.5,4.4,348056.41
2013,9610000.00,467031.12,796463.77,0.1,2.5,4.5,337291.05
2012,8560000.00,411362.59,694351.52,0.1,2.5,3.8,308664.23
2011,7570000.00,352797.47,600634.54,0.1,4.1,3.6,289847.71
2010,6100000.00,303093.01,521658.47,0.1,4.6,-1.4,266621.54
